,Año,Trimestre,Provincia,Accesos por cada 100 hab,Year_Quarter
514,2017,2,La Pampa,21,2017-04-01
515,2017,2,La Rioja,4,2017-04-01
516,2017,2,Mendoza,9,2017-04-01
517,2017,2,Misiones,8,2017-04-01
518,2017,2,Neuquén,18,2017-04-01
519,2017,2,Río Negro,14,2017-04-01
520,2017,2,Salta,8,2017-04-01
521,2017,2,San Juan,7,2017-04-01
522,2017,2,San Luis,3,2017-04-01
523,2017,2,Santa Cruz,8,2017-04-01
524,2017,2,Santa Fe,16,2017-04-01
525,2017,2,Santiago Del Estero,4,2017-04-01
526,2017,2,Tierra Del Fuego,20,2017-04-01
527,2017,2,Tucumán,9,2017-04-01
528,2017,1,Buenos Aires,19,2017-01-01
529,2017,1,Capital Federal,46,2017-01-01
530,2017,1,Catamarca,7,2017-01-01
531,2017,1,Chaco,8,2017-01-01
532,2017,1,Chubut,11,2017-01-01
533,2017,1,Córdoba,18,2017-01-01
534,2017,1,Corrientes,8,2017-01-01
535,2017,1,Entre Ríos,13,2017-01-01
536,2017,1,Formosa,5,2017-01-01
537,2017,1,Jujuy,6,2017-01-01
538,2017,1,La Pampa,21,2017-01-01
539,2017,1,La Rioja,4,2017-01-01
540,2017,1,Mendoza,9,2017-01-01
541,2017,1,Misiones,8,2017-01-01
542,2017,1,Neuquén,18,2017-01-01
543,2017,1,Río Negro,14,2017-01-01
544,2017,1,Salta,8,2017-01-01
545,2017,1,San Juan,7,2017-01-01
546,2017,1,San Luis,3,2017-01-01
547,2017,1,Santa Cruz,8,2017-01-01
548,2017,1,Santa Fe,16,2017-01-01
549,2017,1,Santiago Del Estero,4,2017-01-01
550,2017,1,Tierra Del Fuego,20,2017-01-01
551,2017,1,Tucumán,9,2017-01-01
552,2016,4,Buenos Aires,19,2016-10-01
553,2016,4,Capital Federal,46,2016-10-01
554,2016,4,Catamarca,7,2016-10-01
555,2016,4,Chaco,8,2016-10-01
556,2016,4,Chubut,11,2016-10-01
557,2016,4,Córdoba,18,2016-10-01
558,2016,4,Corrientes,8,2016-10-01
559,2016,4,Entre Ríos,13,2016-10-01
560,2016,4,Formosa,5,2016-10-01
561,2016,4,Jujuy,6,2016-10-01
562,2016,4,La Pampa,21,2016-10-01
563,2016,4,La Rioja,4,2016-10-01
564,2016,4,Mendoza,9,2016-10-01
565,2016,4,Misiones,8,2016-10-01
566,2016,4,Neuquén,18,2016-10-01
567,2016,4,Río Negro,14,2016-10-01
568,2016,4,Salta,8,2016-10-01
569,2016,4,San Juan,7,2016-10-01
570,2016,4,San Luis,3,2016-10-01
571,2016,4,Santa Cruz,8,2016-10-01
572,2016,4,Santa Fe,16,2016-10-01
573,2016,4,Santiago Del Estero,4,2016-10-01
574,2016,4,Tierra Del Fuego,21,2016-10-01
575,2016,4,Tucumán,9,2016-10-01
576,2016,3,Buenos Aires,18,2016-07-01
577,2016,3,Capital Federal,46,2016-07-01
578,2016,3,Catamarca,7,2016-07-01
579,2016,3,Chaco,8,2016-07-01
580,2016,3,Chubut,11,2016-07-01
581,2016,3,Córdoba,18,2016-07-01
582,2016,3,Corrientes,8,2016-07-01
583,2016,3,Entre Ríos,14,2016-07-01
584,2016,3,Formosa,5,2016-07-01
585,2016,3,Jujuy,6,2016-07-01
586,2016,3,La Pampa,20,2016-07-01
587,2016,3,La Rioja,5,2016-07-01
588,2016,3,Mendoza,9,2016-07-01
589,2016,3,Misiones,8,2016-07-01
590,2016,3,Neuquén,18,2016-07-01
591,2016,3,Río Negro,14,2016-07-01
592,2016,3,Salta,8,2016-07-01
593,2016,3,San Juan,7,2016-07-01
594,2016,3,San Luis,3,2016-07-01
595,2016,3,Santa Cruz,8,2016-07-01
596,2016,3,Santa Fe,17,2016-07-01
597,2016,3,Santiago Del Estero,4,2016-07-01
598,2016,3,Tierra Del Fuego,20,2016-07-01
599,2016,3,Tucumán,9,2016-07-01
600,2016,2,Buenos Aires,18,2016-04-01
601,2016,2,Capital Federal,46,2016-04-01
602,2016,2,Catamarca,7,2016-04-01
603,2016,2,Chaco,8,2016-04-01
604,2016,2,Chubut,11,2016-04-01
605,2016,2,Córdoba,18,2016-04-01
606,2016,2,Corrientes,8,2016-04-01
607,2016,2,Entre Ríos,13,2016-04-01
608,2016,2,Formosa,5,2016-04-01
609,2016,2,Jujuy,6,2016-04-01
610,2016,2,La Pampa,20,2016-04-01
611,2016,2,La Rioja,4,2016-04-01
612,2016,2,Mendoza,9,2016-04-01
613,2016,2,Misiones,8,2016-04-01
614,2016,2,Neuquén,18,2016-04-01
615,2016,2,Río Negro,14,2016-04-01
